127.0.0.1 - - [04/Jul/2016:15:32:25 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:56 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:58 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:32:58 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:00 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 8421
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:00 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:00 +0300] "GET /TFL/resources/noimage.png?pfdrid_c=true HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 38742
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/21.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:13 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:15 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:15 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "POST /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/resources/teams.xhtml HTTP/1.1" 200 29443
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/21.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:16 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_f08000_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:17 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:17 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:17 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:17 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_c47a23_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:17 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 5985
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:19 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 6350
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:19 +0300] "GET /TFL/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:22 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 5985
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:23 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 200 6350
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "POST /TFL/resources/teams.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 38746
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:26 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:27 +0300] "GET /TFL/javax.faces.resource/21.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:27 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:27 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:27 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:27 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "POST /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/resources/teams.xhtml HTTP/1.1" 200 29937
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/21.jpg.xhtml?ln=img HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/resources/21.jpg?pfdrid_c=true HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_f08000_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:28 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:29 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:31 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_75_f5f5b5_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:31 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:33:31 +0300] "GET /TFL/javax.faces.resource/images/ui-icons_cb672b_256x240.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:15:36:51 +0300] "GET /TFL/resources/teams.xhtml HTTP/1.1" 200 29937
