0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:22 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:24 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:24 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:30 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:05:30 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:37 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:37 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:48 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:48 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:55 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:55 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:06:55 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:42 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:45 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:45 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 17084
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:52 +0300] "POST /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:52 +0300] "GET /TFL/faces/resources/teamsuser.xhtml HTTP/1.1" 200 21496
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:54 +0300] "POST /TFL/faces/resources/teamsuser.xhtml HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:54 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:07:55 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:09:11 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16550
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:09:11 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:09:16 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:09:16 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:09:27 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:09:27 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:10:25 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:10:25 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16571
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:10:25 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:10:44 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16567
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:39 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:39 +0300] "GET /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 17084
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:41 +0300] "POST /TFL/faces/resources/historyuser.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:41 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:13:11:47 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
